Pack_Price,Unit_Price,Weight_Kilograms_Clean,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Fulfill_Via,Shipment_Mode,Country,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
36.16,0.3,47.0,120,160,Direct Drop,Air,Uganda,Adult,Tablet,Yes,1238.94
12.42,0.41,447.0,30,818,From RDC,Air,Nigeria,Adult,Tablet,No,2230.0
8.21,0.14,1736.0,60,6900,Direct Drop,Air,Vietnam,Adult,Tablet,No,8163.83
20.22,0.17,9966.0,120,40435,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,49199.75
2.4,0.04,53.0,60,688,Direct Drop,Air,Namibia,Pediatric,Tablet,Yes,571.53
9.63,0.32,1248.0,30,21400,From RDC,Air,Nigeria,Adult,Tablet,No,20264.93
8.58,0.35,202.0,270,392,Direct Drop,Air,Mozambique,Adult,Capsule,Yes,2191.21
8.58,0.14,1248.0,60,15120,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,9405.81
8.58,0.33,2666.0,270,5178,Direct Drop,Air,Tanzania,Adult,Capsule,Yes,16751.58
3.04,0.05,165.0,60,3150,From RDC,Air,Rwanda,Adult,Tablet,Yes,2559.28
11.8,0.2,2283.0,60,20000,From RDC,Air,Uganda,Adult,Tablet,Yes,13586.1
4.09,0.07,5324.0,60,2368,From RDC,Truck,Uganda,Pediatric,Tablet,No,8248.28
13.15,0.44,102.0,30,1087,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,129.75
17.0,0.57,49.0,30,1184,From RDC,Air,Ethiopia,Adult,Tablet,Yes,639.75
8.26,0.14,650.0,60,7273,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,4029.71
2.33,0.04,2630.0,60,54869,From RDC,Truck,Zambia,Adult,Tablet,Yes,3402.23
4.79,0.16,7549.0,30,66960,Direct Drop,Air,Uganda,Adult,Tablet,Yes,26095.99
12.01,0.4,1603.0,30,20880,From RDC,Air,Zambia,Adult,Tablet,Yes,8539.26
3.89,0.06,117.0,60,20000,From RDC,Truck,Zambia,Pediatric,Tablet,Yes,5900.0
8.58,0.8,5.0,100,10,Direct Drop,Air,Botswana,HIV test,Test kit,Yes,767.63
18.9,0.16,2630.0,120,12713,From RDC,Truck,Uganda,Adult,Tablet,Yes,6926.9
31.0,0.16,1.0,2,15,Direct Drop,Air,Botswana,HIV test - Ancillary,Test kit,Yes,599.73
27.0,0.16,13.0,20,45,From RDC,Air,Guyana,HIV test,Test kit,Yes,798.58
11.35,0.19,1261.0,60,11242,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,11637.64
4.76,0.05,172.0,100,2256,From RDC,Truck,Côte d'Ivoire,Pediatric,Capsule,Yes,3296.34
1.95,0.01,512.0,240,1090,From RDC,Air,"Congo, DRC",Pediatric,Oral,Yes,3438.2
7.75,0.13,137.0,60,408,Direct Drop,Air,Vietnam,Pediatric,Tablet,No,5260.46
2.18,0.04,1248.0,60,79258,From RDC,Truck,Uganda,Adult,Tablet,No,18500.5
