Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,Shipment_mode,Manufacturing_site,Country,Fulfill_Via,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
30.0,950.0,4.6,0.15,76.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1017.15
60.0,14364.0,2.6,0.04,1537.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,13507.92
30.0,21384.0,10.15,0.34,2406.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,4219.32
60.0,61520.0,7.12,0.12,23888.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13518.56
100.0,25.0,72.0,0.72,12.0,1.0,6.0,4.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,785.88
120.0,102.0,90.0,0.75,15.0,1.0,2.0,14.0,1.0,0.0,1.0,12.0,3.0,0.0,0.0,845.1
30.0,34200.0,3.33,0.11,7908.0,0.0,27.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5496.08
60.0,421.0,9.77,0.16,25.0,1.0,18.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,516.84
100.0,2744.0,89.0,0.89,1186.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,25193.28
60.0,2200.0,11.4,0.19,331.0,1.0,1.0,10.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,2771.84
60.0,672.0,3.67,0.06,49.0,1.0,10.0,7.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,221.96
120.0,12560.0,36.16,0.3,3080.0,1.0,13.0,0.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,18459.58
30.0,328.0,26.25,0.88,291.0,1.0,2.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1755.0
60.0,120.0,7.0,0.12,26.0,1.0,5.0,4.0,1.0,0.0,0.0,26.0,3.0,0.0,0.0,575.17
60.0,1413.0,2.26,0.04,758.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20499.33
30.0,319.0,23.26,0.78,1736.0,1.0,13.0,10.0,1.0,0.0,1.0,10.0,7.0,0.0,0.0,5265.22
60.0,630.0,1.52,0.03,36.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1998.5
60.0,96200.0,2.18,0.04,6320.0,1.0,4.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,33343.63
