,Country,Fulfill_Via,Shipment_Mode,Sub_Classification,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
1908,15,1,0,0,0,10.0,320.0,0.51,400.75,3.0
1909,12,1,0,2,2,138325.0,995940.0,1593.5,9161.95,13123.0
1910,3,1,0,2,3,75318.0,114483.36,183.17,22965.4,5040.0
1911,3,1,0,2,2,101445.0,1259946.9,1825.8853909196707,9043.65,16778.0
1912,3,1,0,2,2,58086.0,551817.0,882.91,9043.65,16778.0
1913,14,1,0,2,3,500.0,775.0,1.24,578.24,33.0
1914,12,1,0,1,3,560.0,8545.6,16.75,3613.31,1448.0
1915,12,1,0,2,3,180.0,0.0,0.0,2765.64,256.0
1916,8,1,0,2,2,420.0,1218.0,2.39,1465.71,49.0
1917,4,1,1,2,2,50000.0,170000.0,333.2,3629.37,2809.0
1918,4,1,0,1,1,1800.0,3780.0,7.41,5110.76,671.0
1919,2,1,0,1,1,36.0,50.4,0.1,857.17,4.0
1920,15,1,0,0,0,16.0,320.0,0.63,851.24,19.0
1921,2,1,0,2,2,15000.0,393750.0,630.0,7463.74,1309.0
1922,4,1,1,2,2,50000.0,600500.0,960.8,4579.42,3817.0
1923,4,1,1,2,2,138.0,469.2,0.92,3629.37,1162.0
1924,13,1,1,0,0,1250.0,40000.0,78.4,157.5,393.0
1925,2,1,0,2,2,20000.0,525000.0,840.0,10665.71,1741.0
1926,14,1,3,2,2,1166.0,2332.0,4.57,1240.0,71.0
1927,12,1,0,2,2,9650.0,115896.5,185.43,3227.48,4211.0
1928,12,1,0,2,2,16990.0,229365.0,366.98,3227.48,4211.0
1929,12,1,0,2,2,120.0,349.2,0.56,3227.48,4211.0
1930,0,1,0,2,2,22566.0,67698.0,132.69,5574.06,2113.0
1931,14,1,0,2,2,88.0,1038.4,2.04,1002.2,10.0
1932,14,1,0,2,2,9.0,99.0,0.19,966.37,1.0
1933,14,1,0,2,2,965.0,6948.0,13.62,2202.02,205.0
1934,2,1,0,2,3,11142.0,17270.1,33.85,6315.3,739.0
1935,0,1,0,1,1,1643.0,3450.3,6.76,7293.9,483.0
1936,14,1,0,2,2,328.0,8610.0,16.88,1755.0,291.0
1937,2,1,0,2,2,1957.0,22936.04,36.7,13353.34,892.0
1938,6,1,0,2,2,24599.0,270589.0,530.35,67318.62599614196,10435.0
1939,2,1,0,2,2,14000.0,154000.0,301.84,13538.35,1169.0
1940,2,1,0,2,2,1672.0,5684.8,9.1,1960.81,251.0
1941,14,1,0,2,2,938.0,1876.0,3.68,8252.73,691.0
1942,7,1,0,2,2,3100.0,41168.0,80.69,29336.46,5147.0
1943,7,1,0,2,2,17103.0,121773.36,238.68,10460.94,2002.0
1944,2,1,0,2,2,2708.0,25590.6,50.16,18617.93,5588.0
1945,0,1,0,2,2,36391.0,386472.42,757.49,11180.32,4156.0
1946,0,1,0,1,1,3060.0,5814.0,11.4,11180.32,4156.0
1947,2,1,2,2,2,15944.0,181761.6,356.25,11492.86,1793.0
1948,4,1,1,1,2,4200.0,32550.0,63.8,2938.92,867.0
1949,0,1,0,2,2,5259.0,15777.0,30.92,5432.93,294.0
1950,4,1,1,2,2,60000.0,660000.0,1293.6,13853.29,5144.0
1951,12,1,0,2,2,26292.0,310245.6,608.08,15990.35,3218.0
1952,2,1,2,2,2,71422.0,814210.8,1595.85,15128.37,8016.0
1953,14,1,0,2,2,80.0,3288.0,6.44,1381.64,19.0
1954,2,1,0,2,2,17933.0,470741.25,922.65,16864.58,1564.0
1955,2,1,2,2,2,10000.0,93500.0,183.26,15128.37,905.0
1956,6,1,0,1,1,398.0,5970.0,11.7,3133.23,199.0
1957,2,1,2,2,2,23991.0,275896.5,540.76,15128.37,2096.0
1958,6,1,0,1,1,98.0,1662.08,3.26,988.24,28.0
1959,0,1,0,2,2,6476.0,56729.76,111.19,4881.06,540.0
1960,2,1,3,2,2,13334.0,152007.6,297.93,17096.24,1626.0
1961,6,1,0,1,3,504.0,2766.96,5.42,23441.88,2034.0
1962,14,1,0,2,2,107.0,342.4,0.67,1954.23,76.0
1963,0,1,0,2,2,17100.0,41724.0,81.78,9936.96,3337.0
1964,0,1,0,2,3,560.0,840.0,1.65,9936.96,3337.0
1965,2,1,2,2,3,12000.0,17880.0,35.04,7329.83,789.0
1966,10,1,0,2,2,5000.0,50000.0,98.0,2317.2,419.0
1967,14,1,0,2,2,1155.0,13109.25,25.69,1848.59,147.0
1968,14,1,0,2,2,220.0,9042.0,17.72,1359.4,50.0
1969,4,1,1,2,2,92000.0,1058000.0,1825.8853909196707,16702.26,7101.0
1970,4,1,0,1,3,4000.0,61040.0,119.64,2951.12,481.0
1971,0,1,0,2,2,2160.0,56700.0,111.13,1660.07,186.0
1972,6,1,0,2,2,25824.0,226218.24,443.39,26714.63,2359.0
1973,4,1,1,2,2,35000.0,249200.0,488.43,2448.71,2604.0
1974,2,1,2,2,2,23670.0,269838.0,528.88,7445.8,2666.0
1975,2,1,2,2,2,671.0,17613.75,34.52,7445.8,59.0
1976,4,1,1,2,2,12294.0,94786.74,185.78,8281.69,629.0
1977,14,1,0,2,2,2250.0,6525.0,12.79,2737.97,327.0
1978,14,1,0,2,2,2420.0,21199.2,41.55,1534.1,202.0
1979,12,1,1,2,2,42000.0,299040.0,586.12,1799.88,4374.0
1980,12,1,1,2,2,17500.0,68250.0,133.77,1588.05,1292.0
1981,4,1,1,2,2,88000.0,968000.0,1825.8853909196707,6759.28,7579.0
1982,3,1,1,2,2,536.0,9112.0,17.86,2233.61,41.0
1983,4,1,1,2,2,111538.0,977072.88,1825.8853909196707,13518.56,23888.0
1984,12,1,0,2,2,98396.0,700579.52,1373.14,2400.25,7426.0
1985,2,1,2,2,2,121280.0,1267480.9786782686,1825.8853909196707,9341.49,9813.0
1986,3,1,1,2,2,15900.0,404655.0,793.12,2217.5,1630.0
1987,7,1,0,2,2,4275.0,10431.0,20.44,4311.22,658.0
1988,6,1,0,2,2,36456.0,226756.32,444.44,32104.3,3160.0
1989,12,1,0,2,3,945.0,1408.05,3.04,1074.8,62.0
1990,12,1,0,2,3,735.0,1073.1,2.31,955.36,47.0
1991,4,1,0,2,2,16033.0,260536.25,69.86500000000001,3807.29,536.0
1992,4,1,0,0,0,600.0,48000.0,69.86500000000001,4965.24,580.0
1993,4,1,0,2,2,43470.0,155187.9,69.86500000000001,18137.64,4398.0
1994,4,1,0,1,3,1030.0,3574.1,69.86500000000001,574.56,48.0
1995,4,1,0,2,2,4165.0,70805.0,69.86500000000001,1483.3,265.0
1996,5,1,0,2,2,38463.0,383860.74,69.86500000000001,20896.5,3450.0
1997,4,1,0,2,2,864.0,70346.88,69.86500000000001,33572.78,8169.0
1998,2,1,0,0,0,6000.0,162000.0,69.86500000000001,9666.0,1833.0
1999,4,1,0,2,2,3334.0,11035.54,69.86500000000001,1170.16,179.0
2000,3,1,0,0,0,100.0,3200.0,69.86500000000001,1004.6,66.0
2001,12,1,0,2,2,2579.0,205288.4,69.86500000000001,1824.11,663.0
2002,0,1,0,2,2,8148.0,132405.0,69.86500000000001,2660.0,743.0
2003,0,1,0,2,2,9000.0,67500.0,69.86500000000001,3166.0,974.0
2004,0,1,0,2,2,460.0,37453.2,69.86500000000001,3908.0,1313.0
2005,12,1,0,2,2,62000.0,458800.0,734.08,20299.0,5778.0
2006,0,1,0,0,0,160.0,12160.0,69.86500000000001,1754.0,173.0
2007,0,1,0,2,2,35074.0,374590.32,69.86500000000001,1478.0,3116.0
2008,0,1,0,2,2,621.0,10557.0,69.86500000000001,1388.0,40.0
2009,3,1,0,0,0,2000.0,278000.0,444.8,4458.0,1415.0
2010,3,1,0,2,2,3149.0,51202.74,81.92,4198.0,1422.0
2011,5,1,0,1,1,50.0,2055.0,3.29,661.06,50.0
2012,0,1,0,2,2,3090.0,127122.6,203.4,2457.0,650.0
2013,0,1,0,1,1,5076.0,20050.2,32.08,7947.0,3073.0
2014,0,1,0,3,4,2.0,477.3,0.76,1356.0,6.0
2015,0,1,0,2,2,3200.0,114560.0,183.3,4200.78,399.0
2016,0,1,0,2,2,22047.0,67022.88,107.24,3348.0,1057.0
2017,5,1,0,0,0,2034.0,33561.0,53.7,4465.1,768.0
2018,12,1,0,1,1,1020.0,21930.0,35.09,3438.84,3340.0
2019,0,1,0,2,3,36.0,2831.04,4.53,1699.0,263.0
2020,0,1,0,0,0,167.0,3340.0,5.34,1439.0,67.0
2021,10,1,0,0,0,300.0,24000.0,38.4,688.84,172.0
2022,3,1,0,2,2,8000.0,130080.0,208.13,9689.0,3369.0
2023,3,1,0,2,2,4155.0,170770.5,273.23,9689.0,3369.0
2024,3,1,0,1,1,147.0,6041.7,9.67,9689.0,3369.0
2025,12,1,0,2,2,2933.0,49127.75,78.6,9869.55,9006.0
2026,12,1,0,1,1,59.0,1241.95,1.99,9869.55,9006.0
2027,0,1,0,2,2,6000.0,165180.0,264.29,14656.0,5880.0
2028,9,1,1,2,2,1560.0,14820.0,23.71,1106.0,90.0
2029,9,1,1,2,2,1600.0,3200.0,5.12,2099.0,143.0
2030,14,1,0,2,2,1350.0,12825.0,20.52,739.0,80.0
2031,0,1,0,1,1,1500.0,24750.0,39.6,7629.94,1286.0
2032,7,1,0,1,1,10336.0,64083.2,102.53,67318.62599614196,35216.0
2033,7,1,0,1,1,12512.0,77574.4,124.12,67318.62599614196,35216.0
2034,4,1,0,2,2,4078.0,167605.8,268.17,4119.6,885.0
2035,0,1,0,2,3,7.0,550.48,0.88,1737.0,295.0
2036,4,1,0,1,1,10996.0,68175.2,109.08,13094.92,3967.0
2037,6,1,0,0,0,600.0,43200.0,69.12,1732.74,137.0
2038,4,1,0,3,4,872.0,8.72,0.01,2938.27,629.0
2039,2,1,0,1,1,1622.0,10056.4,16.09,13873.0,2846.0
2040,12,1,0,2,2,37300.0,463266.0,741.23,10879.28,7341.0
2041,0,1,0,2,2,6.0,48.9,0.08,10137.04,2143.0
2042,9,1,0,2,2,22.0,162.8,0.26,7364.52,2262.0
2043,0,1,0,2,2,44000.0,88000.0,140.8,12349.51,7191.0
2044,0,1,0,2,2,44400.0,328560.0,525.7,8321.29,4689.0
2045,8,1,0,2,2,986.0,81049.2,129.68,4807.0,402.0
2046,0,1,0,1,1,96.0,2400.0,3.84,25563.0,9248.0
2047,4,1,0,2,2,18974.0,140407.6,224.65,7194.3,1928.0
